Seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9
87.5,93.84,86.9,105.56,83.4,81.9,92.17,66.78,78.23,88.51
87.75,93.84,87.06,104.17,83.67,81.95,89.78,66.9,78.34,88.78
88,93.73,87.17,102.23,83.84,81.95,88.28,66.9,78.45,89.4
88.25,93.56,87.17,100.45,83.95,82.06,87.34,66.95,78.34,89.84
88.5,93.56,87.17,99.67,84.12,82.12,86.9,67.01,78.62,90.62
88.75,93.67,87.28,100.4,84.17,82.4,86.67,67.12,78.56,91.4
89,93.78,87.17,100.73,84.28,82.56,86.78,67.4,78.73,92.23
89.25,93.84,87.28,100.84,84.45,82.73,87.17,67.45,78.78,92.62
89.5,93.9,87.23,100.78,84.56,83.01,87.51,67.45,78.9,91.84
89.75,93.73,87.23,100.62,84.62,83.06,87.78,67.45,78.9,90.73
90,93.9,87.17,100.67,84.73,83.12,88.17,67.56,79.01,89.95
90.25,94.12,87.23,100.4,84.9,83.06,88.56,67.84,79.01,89.45
90.5,94.34,87.17,100.28,85.01,83.06,88.56,67.9,78.95,89.01
90.75,94.73,87.28,99.34,85.06,83.23,88.4,67.84,79.06,88.67
91,94.78,87.17,99.01,85.17,83.17,87.67,67.9,79.23,88.56
91.25,94.95,87.34,99.78,85.34,83.34,86.95,68.12,79.45,88.34
91.5,95.01,87.23,101.95,85.45,83.4,86.56,68.17,79.51,88.17
91.75,95.06,87.34,103.17,85.56,83.4,86.4,68.12,79.62,88.17
92,95.06,87.28,105.01,85.56,83.51,86.23,68.17,79.56,88.17
92.25,95.01,87.28,106.56,85.67,83.56,86.45,68.17,79.51,88.56
92.5,94.9,87.34,107.78,85.78,83.73,86.73,68.34,79.51,89.28
92.75,94.78,87.34,108.06,85.78,83.73,86.9,68.34,79.45,90.01
93,94.78,87.51,107.17,86.01,83.9,87.17,68.28,79.4,90.95
93.25,94.56,87.51,105.84,86.12,83.95,87.62,68.4,79.45,91.67
93.5,94.56,87.67,104.51,86.4,83.9,88.12,68.45,79.56,92.28
93.75,94.56,87.78,103.01,86.45,83.9,88.78,68.56,79.62,92.67
94,94.45,87.9,101.78,86.62,83.9,89.9,68.45,79.67,92.12
94.25,94.51,88.06,101.73,86.73,83.9,91.78,68.62,79.67,91.12
94.5,94.4,88.17,102.06,86.84,83.9,93.06,68.56,79.73,90.56
94.75,94.28,88.45,101.95,86.95,83.84,93.28,68.56,79.67,90.34
95,94.34,88.56,101.9,87.06,83.84,91.51,68.62,79.78,90.23
95.25,94.28,88.73,102.45,87.12,83.9,90.23,68.62,79.73,90.62
95.5,94.28,88.9,102.78,87.4,84.06,89.73,68.67,80.01,91.12
95.75,94.28,89.06,102.51,87.34,84.17,89.01,68.78,80.12,91.9
96,94.28,89.28,101.73,87.45,84.4,88.78,68.84,80.23,92.9
96.25,94.17,89.4,101.01,87.56,84.51,89.45,68.84,80.12,93.73
96.5,94.23,89.62,100.34,87.73,84.67,89.67,68.9,80.34,94.51
96.75,94.23,89.78,99.62,87.78,84.84,90.01,69.34,80.4,93.51
97,94.23,89.95,99.01,87.9,84.9,90.06,69.9,80.4,92.62
97.25,94.23,90.17,98.34,88.17,85.12,90.23,70.4,80.62,92.17
97.5,94.17,90.23,97.73,88.06,85.06,90.17,70.4,80.73,92.17
97.75,94.17,90.56,97.06,88.17,85.06,89.84,70.62,80.73,92.34
98,94.12,90.78,96.95,88.34,85.23,89.95,70.51,80.73,92.78
98.25,94.06,91.01,97.67,88.4,85.34,90.51,70.62,80.67,93.23
98.5,94.17,91.23,99.51,88.45,85.4,91.17,70.28,80.67,93.84
98.75,94.12,91.45,101.28,88.51,85.45,92.01,70.17,80.56,94.45
99,94.01,91.45,103.01,88.56,85.45,93.01,70.12,80.62,95.23
99.25,94.01,91.51,104.23,88.62,85.51,93.12,70.06,80.56,95.06
99.5,93.95,91.67,105.78,88.73,85.62,92.45,70.01,80.67,94.34
99.75,93.95,91.9,106.06,88.78,85.62,91.4,70.01,80.73,93.45
100,93.9,91.9,105.01,88.95,85.62,90.67,70.06,80.9,92.95
100.25,93.84,91.95,104.34,89.06,85.67,90.01,70.06,80.84,92.73
100.5,93.84,92.06,103.73,89.12,85.73,89.67,70.06,80.9,92.9
100.75,93.78,92.12,102.73,89.28,85.84,89.28,70.12,80.95,93.23
101,93.78,92.12,101.67,89.28,85.95,89.12,70.06,81.01,93.84
101.25,93.73,92.23,101.51,89.51,86.06,88.95,70.12,81.06,94.45
101.5,93.67,92.4,101.56,89.51,86.06,88.73,70.12,81.23,95.34
101.75,93.62,92.51,101.73,89.67,86.17,88.73,70.17,81.17,96.01
102,93.67,92.84,101.95,89.73,86.17,88.51,70.17,81.23,96.28
102.25,93.62,93.01,101.78,89.84,86.12,88.45,70.23,81.23,95.67
102.5,93.62,93.34,102.12,89.9,86.23,88.34,70.28,81.23,94.9
102.75,93.62,93.51,102.84,90.06,86.12,88.28,70.34,81.28,94.23
103,93.51,93.67,102.51,90.06,86.12,88.28,70.4,81.34,93.73
103.25,93.45,93.78,102.4,90.23,86.12,88.28,70.62,81.34,93.51
103.5,93.56,94.06,104.06,90.23,86.06,88.17,70.56,81.34,93.17
103.75,93.51,94.12,106.28,90.23,86.01,88.23,70.62,81.4,93.01
104,93.51,94.23,107.56,90.4,85.95,88.17,70.73,81.45,92.95
104.25,93.51,94.28,108.17,90.51,85.95,88.23,70.78,81.56,92.9
104.5,93.51,94.4,107.67,90.56,85.95,88.17,70.84,81.56,93.06
104.75,93.45,94.45,107.51,90.62,85.84,88.12,70.78,81.56,93.23
105,93.4,94.62,106.62,90.78,85.9,88.01,70.9,81.73,93.73
105.25,93.4,94.67,105.73,90.9,85.84,88.01,70.9,81.73,94.34
105.5,93.4,94.84,104.78,90.95,85.84,88.06,71.01,81.78,95.23
105.75,93.4,94.84,104.17,91.01,85.78,87.95,71.01,81.9,95.78
106,93.4,94.9,103.34,91.12,85.78,88.01,71.12,81.95,96.34
106.25,93.34,94.95,102.51,91.17,85.73,88.12,71.17,82.06,97.06
106.5,93.4,94.95,101.95,91.34,85.84,88.12,71.23,82.12,96.9
106.75,93.4,95.01,101.45,91.34,85.78,88.06,71.17,82.06,96.17
107,93.34,94.95,100.62,91.45,85.73,88.12,71.4,82.17,95.62
107.25,93.4,94.95,100.23,91.45,85.78,88.01,71.45,82.28,95.23
107.5,93.34,94.95,99.9,91.62,85.78,88.12,71.56,82.34,95.23
107.75,93.4,94.95,99.45,91.51,85.73,87.95,71.62,82.34,95.45
108,93.4,94.95,99.01,91.62,85.78,88.06,71.78,82.34,95.95
108.25,93.4,94.9,98.67,91.56,85.78,88.12,71.9,82.45,96.34
108.5,93.4,94.95,98.17,91.62,85.84,88.12,71.95,82.51,97.23
108.75,93.34,94.84,98.01,91.67,85.9,88.12,72.01,82.56,98.17
109,93.34,94.9,97.67,91.67,85.9,88.06,72.12,82.62,97.67
109.25,93.4,94.9,97.23,91.67,85.95,88.12,72.12,82.62,96.95
109.5,93.4,94.84,97.12,91.67,85.95,88.12,72.17,82.78,96.67
109.75,93.4,94.9,96.78,91.67,85.95,88.12,72.23,83.01,96.78
110,93.4,94.9,96.56,91.62,85.95,88.12,72.28,82.95,96.9
110.25,93.4,94.84,96.23,91.62,85.95,88.17,72.23,83.01,97.23
110.5,93.34,94.78,96.17,91.62,85.95,88.12,72.28,83.12,97.78
110.75,93.45,94.9,96.17,91.62,85.95,88.17,72.34,83.06,98.01
111,93.4,94.84,95.95,91.62,86.01,88.17,72.34,83.12,98.06
111.25,93.4,94.84,95.78,91.56,86.01,88.28,72.34,83.17,97.4
111.5,93.56,94.84,95.67,91.62,86.01,88.23,72.34,83.23,96.73
111.75,93.56,94.84,95.34,91.56,86.01,88.23,72.45,83.34,96.4
112,93.56,94.9,95.01,91.56,86.12,88.28,72.45,83.34,95.78
112.25,93.56,94.9,94.73,91.51,86.01,88.28,72.4,83.4,95.23
112.5,93.62,94.84,94.51,91.45,86.06,88.28,72.51,83.45,94.84
112.75,93.62,94.84,94.28,91.51,86.06,88.34,72.62,83.51,94.4
113,93.73,94.9,94.28,91.51,86.12,88.34,72.67,83.56,94.12
113.25,93.73,94.9,94.12,91.4,86.12,88.4,72.73,83.56,93.9
113.5,93.78,94.84,93.84,91.4,86.17,88.34,72.78,83.67,93.62
113.75,93.9,94.78,93.84,91.51,86.17,88.51,72.78,83.73,93.51
114,93.84,94.84,93.73,91.4,86.06,88.45,72.84,83.73,93.23
114.25,93.95,94.84,93.73,91.45,86.28,88.56,72.9,83.73,93.17
114.5,93.95,94.84,93.67,91.34,86.28,88.56,72.9,83.78,93.01
114.75,94.01,94.84,93.62,91.45,86.28,88.67,73.01,83.84,92.9
115,94.06,94.9,93.73,91.34,86.28,88.62,73.23,83.84,92.9
115.25,94.06,94.84,93.73,91.34,86.28,88.62,73.17,84.01,92.78
115.5,94.12,94.84,93.62,91.34,86.4,88.78,73.12,84.01,92.56
115.75,94.23,94.9,93.84,91.34,86.45,88.9,73.23,84.12,92.51
116,94.17,94.9,93.9,91.28,86.4,88.95,73.23,84.17,92.56
116.25,94.28,94.9,93.67,91.34,86.45,89.01,73.34,84.17,92.45
116.5,94.34,94.9,93.67,91.28,86.51,89.06,73.4,84.23,92.4
116.75,94.28,94.9,93.73,91.28,86.45,89.12,73.45,84.34,92.4
117,94.34,94.9,93.67,91.28,86.51,89.23,73.4,84.4,92.28
117.25,94.4,94.9,93.67,91.34,86.62,89.28,73.51,84.51,92.28
117.5,94.56,94.95,93.78,91.28,86.67,89.45,73.51,84.56,92.17
117.75,94.56,95.01,93.95,91.28,86.62,89.51,73.56,84.51,92.12
118,94.62,95.06,94.06,91.34,86.67,89.67,73.56,84.56,92.12
118.25,94.62,94.95,93.95,91.34,86.62,89.73,73.67,84.67,92.12
118.5,94.73,95.01,93.9,91.4,86.73,89.84,73.62,84.73,92.06
118.75,94.84,95.01,94.01,91.34,86.78,90.06,73.73,84.73,92.06
119,94.78,94.95,94.06,91.4,86.78,90.17,73.73,84.73,91.95
119.25,94.95,95.01,94.51,91.34,86.84,90.23,73.78,84.78,91.9
119.5,94.9,95.01,94.62,91.4,86.95,90.4,73.78,84.78,91.9
119.75,94.95,95.06,94.45,91.4,86.95,90.4,73.78,84.9,91.9
120,95.01,94.95,94.56,91.45,86.95,90.51,73.9,84.9,91.84
120.25,95.06,95.01,94.56,91.45,87.01,90.51,73.95,84.9,91.78
120.5,95.17,94.95,95.28,91.51,87.12,90.78,74.23,85.06,91.9
120.75,95.23,95.01,95.56,91.34,87.12,90.95,74.28,85.12,91.78
121,95.28,94.95,95.34,91.51,87.23,91.06,74.34,85.17,91.84
121.25,95.28,94.9,95.12,91.51,87.28,91.12,74.4,85.28,91.95
121.5,95.28,94.95,95.62,91.56,87.45,91.62,74.4,85.34,91.84
121.75,95.4,94.9,95.78,91.45,87.45,91.62,74.45,85.45,91.9
122,95.4,94.84,95.84,91.56,87.51,91.9,74.51,85.45,91.9
122.25,95.56,94.84,96.17,91.67,87.62,91.95,74.56,85.51,91.9
122.5,95.56,94.9,96.06,91.67,87.67,92.12,74.56,85.56,91.9
122.75,95.62,94.84,96.28,91.67,87.84,92.23,74.67,85.62,91.84
123,95.67,94.84,96.17,91.73,87.78,92.23,74.73,85.67,91.84
123.25,95.62,94.84,96.4,91.78,88.01,92.34,74.78,85.78,91.84
123.5,95.73,94.78,96.78,91.84,88.01,92.45,74.73,85.78,91.84
123.75,95.84,94.73,97.01,91.84,88.06,92.56,74.84,85.78,91.84
124,95.9,94.73,97.17,91.84,88.23,92.62,74.95,85.9,91.84
124.25,95.84,94.67,97.51,91.95,88.34,92.62,75.12,86.01,91.84
124.5,95.95,94.78,97.67,91.95,88.34,92.62,75.12,86.06,91.84
124.75,96.06,94.78,98.12,92.06,88.4,92.62,75.12,86.06,91.73
125,96.06,94.67,98.56,92.12,88.56,92.78,75.12,86.01,91.78
125.25,96.12,94.67,98.95,92.17,88.62,92.84,75.17,86.06,91.78
125.5,96.17,94.62,98.78,92.17,88.62,92.9,75.23,86.06,91.9
125.75,96.28,94.67,98.73,92.23,88.78,92.95,75.28,86.12,91.84
126,96.28,94.73,99.56,92.28,88.84,93.01,75.45,86.17,91.84
126.25,96.4,94.73,100.01,92.4,88.9,93.06,75.51,86.28,91.84
126.5,96.45,94.67,100.34,92.4,89.01,93.17,75.56,86.34,91.9
126.75,96.51,94.67,100.28,92.51,89.01,93.17,75.62,86.45,91.95
127,96.56,94.73,100.17,92.62,89.12,93.28,75.73,86.45,91.95
127.25,96.62,94.62,100.23,92.67,89.12,93.4,75.62,86.45,91.9
127.5,96.67,94.67,100.62,92.84,89.28,93.45,75.67,86.62,91.95
127.75,96.73,94.67,100.78,92.84,89.28,93.45,75.78,86.67,92.12
128,96.73,94.62,100.78,92.95,89.28,93.51,75.78,86.73,92.06
128.25,96.84,94.56,100.73,93.01,89.4,93.62,75.67,86.73,92.06
128.5,96.84,94.51,101.06,93.06,89.45,93.56,75.78,86.73,92.06
128.75,96.95,94.62,101.01,93.23,89.62,93.78,75.9,86.84,92.17
129,96.95,94.56,101.06,93.34,89.67,93.95,75.95,86.84,92.28
129.25,97.01,94.62,101.34,93.45,89.67,94.01,76.01,87.01,92.28
129.5,97.06,94.51,101.4,93.45,89.62,94.12,76.01,86.95,92.4
129.75,97.06,94.51,101.45,93.56,89.78,94.12,76.17,87.01,92.51
130,97.12,94.56,101.56,93.67,89.84,94.12,76.12,87.12,92.56
130.25,97.23,94.51,101.56,93.73,89.84,94.28,76.23,87.17,92.62
130.5,97.34,94.56,101.73,93.78,89.95,94.28,76.17,87.12,92.78
130.75,97.4,94.51,101.95,93.9,90.01,94.4,76.17,87.17,92.84
131,97.45,94.56,102.23,93.95,90.06,94.51,76.34,87.17,92.84
131.25,97.51,94.51,102.17,94.01,90.12,94.62,76.34,87.34,92.95
131.5,97.51,94.51,102.06,94.06,90.12,94.62,76.4,87.4,93.01
131.75,97.56,94.51,102.17,94.17,90.17,94.67,76.4,87.34,93.12
132,97.62,94.51,102.45,94.28,90.28,94.73,76.45,87.45,93.28
132.25,97.67,94.51,102.23,94.34,90.28,94.67,76.51,87.51,93.28
132.5,97.67,94.51,102.4,94.45,90.34,94.67,76.56,87.51,93.51
132.75,97.67,94.56,102.67,94.62,90.51,94.84,76.62,87.51,93.56
133,97.84,94.67,102.95,94.62,90.51,94.95,76.67,87.56,93.73
133.25,97.9,94.56,103.12,94.67,90.51,95.01,76.73,87.62,93.84
133.5,97.95,94.56,103.12,94.73,90.56,95.06,76.78,87.67,94.34
133.75,98.01,94.51,103.06,94.84,90.67,95.17,76.84,87.73,94.73
134,98.06,94.56,102.84,94.9,90.73,95.17,77.01,87.78,95.01
134.25,98.12,94.56,102.78,95.06,90.78,95.23,77.01,87.84,95.34
134.5,98.12,94.51,102.73,95.12,90.9,95.34,77.06,87.9,95.28
134.75,98.23,94.56,102.95,95.17,90.9,95.4,77.12,87.95,95.23
135,98.23,94.56,102.95,95.28,90.9,95.51,77.17,88.01,95.12
135.25,98.23,94.56,103.06,95.34,91.01,95.56,77.23,88.12,95.06
135.5,98.34,94.56,103.12,95.4,91.12,95.62,77.28,88.12,95.12
135.75,98.45,94.67,103.06,95.51,91.12,95.67,77.45,88.17,95.06
136,98.56,94.67,103.06,95.56,91.12,95.73,77.4,88.23,95.01
136.25,98.62,94.73,103.23,95.62,91.23,95.84,77.51,88.28,95.12
136.5,98.56,94.73,103.28,95.73,91.23,95.9,77.51,88.34,95.01
136.75,98.67,94.73,103.28,95.84,91.34,95.9,77.56,88.34,95.06
137,98.73,94.73,103.4,95.84,91.34,96.01,77.56,88.45,95.06
137.25,98.73,94.78,103.4,95.9,91.51,96.06,77.67,88.45,95.06
137.5,98.9,94.84,103.62,96.01,91.51,96.12,77.67,88.56,95.12
137.75,98.9,94.84,104.01,96.01,91.56,96.12,77.67,88.56,95.28
138,98.95,94.84,104.51,96.06,91.56,96.17,77.78,88.67,95.34
138.25,99.06,94.84,104.45,96.23,91.67,96.23,77.9,88.78,95.4
138.5,99.01,94.95,104.51,96.28,91.78,96.23,78.01,88.78,95.4
138.75,99.12,94.9,104.28,96.4,91.78,96.28,78.01,88.84,95.51
139,99.12,95.01,104.78,96.51,91.9,96.45,78.12,88.9,95.45
139.25,99.23,95.01,104.62,96.62,92.06,96.62,78.17,89.01,95.51
139.5,99.28,95.01,104.67,96.62,91.95,96.56,78.17,89.06,95.56
139.75,99.4,95.12,104.73,96.67,92.06,96.62,78.28,89.06,95.62
140,99.4,95.12,104.84,96.78,92.17,96.73,78.34,89.12,95.67
140.25,99.4,95.17,104.9,96.73,92.17,96.73,78.4,89.17,95.67
140.5,99.45,95.23,105.01,96.9,92.17,96.73,78.4,89.23,95.67
140.75,99.51,95.23,105.17,97.01,92.28,96.78,78.56,89.28,95.78
141,99.67,95.28,105.17,97.01,92.4,96.84,78.62,89.4,95.73
141.25,99.67,95.4,105.28,97.17,92.34,96.84,78.56,89.34,95.9
141.5,99.67,95.4,105.23,97.23,92.45,97.01,78.67,89.45,95.95
141.75,99.9,95.51,105.23,97.28,92.45,97.01,78.67,89.45,95.95
142,99.9,95.51,105.34,97.34,92.56,97.06,78.78,89.62,96.01
142.25,99.84,95.56,105.51,97.4,92.62,97.17,78.78,89.62,96.01
142.5,100.06,95.62,105.45,97.51,92.62,97.12,78.95,89.67,96.12
142.75,100.01,95.67,105.45,97.62,92.73,97.28,78.95,89.78,96.17
143,100.06,95.73,105.67,97.67,92.78,97.4,79.01,89.84,96.23
143.25,100.12,95.73,105.56,97.67,92.78,97.45,79.06,89.84,96.17
143.5,100.28,95.78,105.51,97.78,92.9,97.51,79.12,89.95,96.34
143.75,100.23,95.84,106.34,97.9,92.95,97.56,79.17,90.06,96.4
144,100.34,95.9,106.56,97.9,93.01,97.62,79.12,90.01,96.45
144.25,100.45,96.01,106.45,98.01,93.01,97.67,79.12,90.01,96.51
144.5,100.45,96.01,106.12,98.06,93.12,97.67,79.23,90.01,96.51
144.75,100.51,96.06,106.01,98.12,93.17,97.78,79.28,90.23,96.62
145,100.56,96.17,106.4,98.23,93.17,97.84,79.4,90.17,96.62
145.25,100.51,96.12,106.51,98.34,93.23,97.9,79.4,90.23,96.73
145.5,100.62,96.17,106.67,98.4,93.34,97.95,79.45,90.34,96.73
145.75,100.62,96.23,106.78,98.45,93.34,98.06,79.45,90.4,96.84
146,100.78,96.28,106.67,98.45,93.45,98.17,79.51,90.45,96.84
146.25,100.78,96.34,106.56,98.56,93.45,98.17,79.51,90.45,96.9
146.5,100.95,96.45,106.56,98.62,93.56,98.17,79.62,90.51,96.95
146.75,100.95,96.56,106.45,98.67,93.56,98.23,79.67,90.56,97.01
147,101.06,96.56,106.62,98.78,93.67,98.28,79.67,90.56,97.01
147.25,101.01,96.67,107.01,98.78,93.67,98.4,79.73,90.67,97.12
147.5,101.12,96.73,106.9,98.84,93.78,98.45,79.78,90.73,97.17
147.75,101.17,96.73,106.73,98.95,93.84,98.51,79.9,90.78,97.23
148,101.17,96.84,106.84,99.06,93.9,98.62,79.9,90.84,97.28
148.25,101.23,96.9,106.56,99.12,93.95,98.73,79.95,90.9,97.34
148.5,101.28,97.01,106.45,99.06,93.95,98.67,80.01,90.9,97.34
148.75,101.34,97.01,106.51,99.17,94.06,98.73,80.12,91.06,97.45
149,101.34,97.06,106.95,99.28,94.12,98.9,80.17,91.12,97.56
149.25,101.51,97.12,107.17,99.4,94.23,99.01,80.12,91.12,97.4
149.5,101.56,97.17,107.4,99.45,94.34,99.06,80.23,91.23,97.56
149.75,101.62,97.28,107.34,99.51,94.34,99.12,80.28,91.34,97.67
150,101.62,97.28,107.17,99.62,94.34,99.23,80.4,91.4,97.67
150.25,101.67,97.45,107.12,99.67,94.4,99.23,80.4,91.4,97.67
150.5,101.67,97.45,106.78,99.73,94.51,99.45,80.45,91.51,97.67
150.75,101.78,97.56,106.78,99.73,94.51,99.45,80.62,91.51,97.67
151,101.78,97.56,106.78,99.73,94.67,99.56,80.62,91.62,97.84
151.25,101.9,97.67,106.67,99.9,94.73,99.56,80.67,91.67,97.84
151.5,101.78,97.62,106.73,99.9,94.78,99.56,80.73,91.73,97.9
151.75,101.95,97.67,106.78,100.01,94.84,99.62,80.73,91.78,97.9
152,101.95,97.84,106.67,100.06,94.84,99.67,80.84,91.9,98.12
152.25,101.95,97.9,106.95,100.06,94.95,99.78,80.78,92.01,98.12
152.5,101.95,97.9,107.06,100.01,95.06,99.9,80.95,92.01,98.12
152.75,102.01,98.01,107.28,100.23,95.06,99.95,80.9,92.01,98.17
153,102.01,98.01,107.67,100.23,95.06,100.01,81.01,92.12,98.17
153.25,102.12,98.06,107.95,100.23,95.12,100.01,81.06,92.23,98.28
153.5,102.12,98.17,107.73,100.28,95.23,100.06,81.17,92.23,98.34
153.75,102.17,98.23,107.45,100.4,95.28,100.23,81.17,92.34,98.28
154,102.17,98.34,107.67,100.51,95.4,100.4,81.28,92.45,98.4
154.25,102.17,98.28,107.56,100.56,95.51,100.4,81.34,92.56,98.45
154.5,102.17,98.4,107.56,100.62,95.56,100.4,81.4,92.51,98.45
154.75,102.23,98.4,107.62,100.73,95.62,100.45,81.45,92.62,98.45
155,102.23,98.45,108.12,100.73,95.62,100.51,81.56,92.67,98.56
155.25,102.28,98.62,108.17,100.78,95.67,100.51,81.56,92.73,98.51
155.5,102.34,98.73,108.12,100.9,95.73,100.51,81.56,92.84,98.56
155.75,102.4,98.73,107.9,100.9,95.78,100.56,81.67,92.84,98.62
156,102.4,98.78,107.78,100.95,95.78,100.62,81.78,92.9,98.67
156.25,102.45,98.9,107.9,101.06,95.9,100.78,81.78,92.95,98.67
156.5,102.4,98.95,107.84,101.12,96.01,100.84,81.84,92.95,98.78
156.75,102.51,98.95,108.17,101.17,96.01,100.84,81.84,93.01,98.78
157,102.51,99.01,108.51,101.17,96.01,100.95,81.9,93.06,98.9
157.25,102.51,99.06,108.62,101.23,96.12,100.95,81.95,93.12,98.95
157.5,102.45,99.12,108.51,101.23,96.17,100.9,82.06,93.17,99.01
157.75,102.51,99.17,108.73,101.34,96.28,100.95,82.12,93.23,99.12
158,102.51,99.28,109.17,101.4,96.23,100.95,82.12,93.4,99.12
158.25,102.51,99.28,109.28,101.51,96.4,101.12,82.28,93.45,99.28
158.5,102.51,99.4,109.34,101.56,96.51,101.01,82.34,93.45,99.28
158.75,102.51,99.45,109.34,101.62,96.56,101.06,82.28,93.56,99.34
159,102.51,99.45,109.17,101.73,96.62,101.01,82.4,93.56,99.4
159.25,102.45,99.51,109.34,101.78,96.67,101.17,82.45,93.62,99.45
159.5,102.56,99.56,109.4,101.84,96.78,101.17,82.62,93.73,99.56
159.75,102.62,99.67,109.56,101.9,96.78,101.01,82.62,93.84,99.56
160,102.56,99.67,109.34,101.95,96.78,100.95,82.62,93.9,99.67
160.25,102.67,99.84,109.51,102.06,96.84,101.01,82.67,93.84,99.73
160.5,102.62,99.84,109.45,102.06,96.9,100.84,82.67,93.95,99.73
160.75,102.67,99.84,109.4,102.17,97.01,100.9,82.84,94.01,99.9
161,102.62,99.84,109.51,102.12,96.95,100.84,82.84,94.06,99.9
161.25,102.67,100.01,109.67,102.28,96.95,100.84,82.9,94.12,100.01
161.5,102.67,100.01,109.78,102.34,96.95,100.9,82.9,94.12,99.95
161.75,102.73,100.06,109.84,102.34,97.01,100.84,83.01,94.28,100.12
162,102.62,100.17,109.73,102.4,97.01,100.9,83.06,94.17,100.12
162.25,102.67,100.17,109.73,102.56,97.12,100.9,83.23,94.4,100.34
162.5,102.67,100.28,110.45,102.67,97.23,100.9,83.28,94.45,100.45
162.75,102.67,100.23,110.62,102.62,97.23,100.9,83.34,94.56,100.51
163,102.78,100.34,110.56,102.73,97.28,101.01,83.4,94.56,100.56
163.25,102.78,100.45,110.4,102.9,97.34,101.01,83.45,94.67,100.62
163.5,102.73,100.45,110.17,102.84,97.34,100.95,83.4,94.73,100.62
163.75,102.84,100.45,109.9,102.95,97.4,101.01,83.56,94.73,100.78
164,102.78,100.51,109.78,102.95,97.34,101.01,83.56,94.84,100.73
164.25,102.78,100.56,109.56,103.06,97.4,101.06,83.67,94.9,100.84
164.5,102.95,100.67,109.4,103.06,97.4,101.01,83.73,94.95,100.9
164.75,102.9,100.73,109.34,103.12,97.45,101.01,83.73,95.06,101.01
165,103.06,100.78,109.28,103.23,97.45,101.17,83.78,95.06,101.12
165.25,103.01,100.78,109.12,103.17,97.4,101.01,83.78,95.06,101.12
165.5,103.01,100.84,109.12,103.28,97.51,101.01,83.9,95.06,101.23
165.75,103.12,100.95,109.23,103.4,97.56,101.06,83.95,95.28,101.34
166,103.06,100.95,108.95,103.34,97.56,101.12,84.06,95.4,101.4
166.25,103.06,101.06,109.06,103.34,97.62,101.06,84.12,95.45,101.4
166.5,103.12,101.06,109.17,103.45,97.62,101.12,84.17,95.51,101.51
166.75,103.12,101.12,109.17,103.45,97.62,101.06,84.28,95.56,101.56
167,103.12,101.23,109.06,103.56,97.67,101.17,84.28,95.67,101.51
167.25,103.28,101.23,108.95,103.62,97.67,101.12,84.28,95.67,101.67
167.5,103.28,101.34,108.84,103.62,97.73,101.23,84.4,95.78,101.73
167.75,103.34,101.51,108.78,103.67,97.67,101.28,84.4,95.78,101.9
168,103.51,101.45,108.4,103.67,97.84,101.28,84.56,95.84,101.9
168.25,103.51,101.56,108.23,103.73,97.78,101.34,84.56,95.95,102.01
168.5,103.45,101.56,108.06,103.78,97.84,101.34,84.56,96.01,102.01
168.75,103.45,101.62,107.95,103.78,97.84,101.4,84.62,96.17,101.95
169,134.4,101.67,107.84,103.84,97.84,101.34,84.78,96.23,102.06
169.25,187.95,101.78,107.84,103.78,97.9,101.34,84.84,96.28,102.06
169.5,200.45,101.78,107.84,103.78,98.01,101.45,84.84,96.34,102.12
169.75,205.28,101.84,107.62,103.9,98.01,101.56,84.95,96.51,102.17
170,208.56,101.9,107.62,104.01,98.12,101.62,85.06,96.51,102.12
170.25,211.06,102.01,107.73,103.95,98.17,101.62,85.06,96.51,102.28
170.5,212.78,102.01,107.62,103.95,98.17,101.73,85.28,96.67,102.28
170.75,213.12,102.06,107.56,103.95,98.12,101.73,85.23,96.73,102.28
171,214.73,102.12,107.62,103.95,98.17,101.78,85.4,96.67,102.28
171.25,215.28,102.12,107.51,104.01,98.28,101.9,85.45,96.78,102.34
171.5,214.17,102.23,107.51,104.01,98.28,101.9,85.51,96.84,102.45
171.75,214.56,102.28,107.34,104.06,98.28,101.95,85.56,96.84,102.34
172,215.01,102.17,107.12,103.95,98.34,102.12,85.62,96.9,102.28
172.25,216.78,102.34,107.23,104.01,98.4,102.12,85.73,96.9,102.23
172.5,215.17,102.4,107.28,104.06,98.4,102.23,85.78,97.01,102.28
172.75,205.9,102.45,107.34,104.01,98.45,102.28,85.78,97.12,102.23
173,197.28,102.56,107.4,104.06,98.45,102.17,85.9,97.06,102.28
173.25,185.01,102.51,107.4,104.06,98.56,102.28,85.95,97.17,102.28
173.5,177.73,102.67,107.45,104.12,98.56,102.28,85.95,97.23,102.23
173.75,172.78,102.73,107.4,104.01,98.56,102.34,86.01,97.34,102.23
174,169.28,102.78,107.45,104.17,98.62,102.28,86.28,97.4,102.28
174.25,166.45,102.78,107.51,104.17,98.78,102.45,86.4,97.51,102.28
174.5,164.28,102.84,107.51,104.17,98.9,102.51,86.56,97.51,102.4
174.75,162.34,102.9,107.51,104.28,98.95,102.62,86.51,97.56,102.34
175,160.78,103.01,107.51,104.17,98.9,102.56,86.56,97.51,102.4
175.25,159.45,102.9,107.56,104.23,99.01,102.67,86.62,97.67,102.34
175.5,158.45,103.01,107.67,104.28,99.06,102.84,86.84,97.78,102.34
