Seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9
19.75,58.9,48.62,59.06,43.06,47.4,48.62,45.17,48.23,47.4
20,58.9,48.73,57.95,43.23,47.51,49.01,45.62,48.62,47.34
20.25,59.12,48.73,57.84,43.45,47.56,49.62,45.9,49.06,47.62
20.5,59.67,48.9,59.34,43.62,47.56,50.23,46.06,49.62,47.67
20.75,60.28,49.01,63.56,43.9,47.62,51.06,45.95,50.23,47.84
21,60.95,49.12,67.28,44.12,47.73,51.84,46.23,50.45,48.06
21.25,61.34,49.17,70.45,44.34,47.78,53.01,46.12,49.95,48.23
21.5,61.45,49.28,72.67,44.56,47.84,53.34,46.17,49.62,48.62
21.75,61.51,49.34,75.12,44.73,48.01,52.78,46.28,49.45,49.12
22,61.51,49.34,77.28,44.95,48.23,51.73,46.28,49.45,49.67
22.25,61.45,49.34,75.51,45.17,48.51,51.51,46.45,49.34,50.62
22.5,61.51,49.45,72.9,45.51,48.78,52.56,46.56,49.28,51.78
22.75,61.51,49.51,70.51,45.78,49.12,53.62,46.45,49.45,52.9
23,61.45,49.51,68.45,45.95,49.34,55.06,46.84,50.17,54.06
23.25,61.51,49.62,66.84,46.23,49.56,56.45,46.84,50.45,54.84
23.5,61.4,49.62,65.34,46.56,49.78,58.84,47.01,50.28,55.67
23.75,61.51,49.73,63.62,46.78,50.01,60.67,46.95,50.01,54.84
24,61.51,49.78,62.34,47.01,50.12,60.06,47.23,50.17,53.84
24.25,61.67,49.78,61.78,47.17,50.28,57.56,47.62,50.23,53.56
24.5,61.9,49.84,61.12,47.4,50.23,56.01,47.45,50.4,53.9
24.75,62.45,49.9,61.34,47.62,50.34,54.95,47.78,50.73,54.9
25,63.17,49.95,63.78,47.67,50.56,54.56,47.9,50.9,55.84
25.25,63.78,49.9,66.51,47.9,50.9,54.4,48.34,51.34,57.51
25.5,64.28,50.06,67.62,47.95,51.23,54.51,48.23,51.67,58.9
25.75,64.62,50.17,68.4,48.17,51.51,55.23,47.95,51.62,58.95
26,64.62,50.28,68.12,48.28,51.73,55.62,47.78,51.62,57.62
26.25,64.67,50.4,67.45,48.62,52.01,56.01,47.73,51.62,56.34
26.5,64.84,50.56,67.51,48.78,52.06,57.28,47.78,51.62,55.95
26.75,64.84,50.56,66.78,48.95,52.17,57.78,47.56,51.95,56.12
27,64.9,50.73,66.34,49.17,52.28,56.9,47.9,52.45,56.56
27.25,64.9,50.95,66.12,49.34,52.56,56.45,48.23,52.4,57.12
27.5,64.95,51.17,65.95,49.62,52.73,55.78,48.17,52.73,57.95
27.75,65.12,51.45,67.78,49.78,52.9,56.67,48.23,52.95,58.67
28,65.45,51.78,73.01,50.06,53.17,57.56,48.62,53.4,59.28
28.25,65.73,52.12,76.45,50.28,53.28,58.78,48.78,53.56,59.73
28.5,66.06,52.45,78.9,50.34,53.51,60.45,48.95,53.34,58.9
28.75,66.17,52.73,81.45,50.56,53.67,62.34,49.01,53.4,58.4
29,66.23,53.01,84.17,50.73,53.78,64.73,49.01,53.62,57.73
29.25,66.34,53.28,83.84,51.01,54.01,65.01,49.17,53.73,56.95
29.5,66.51,53.62,81.23,51.17,54.17,63.45,48.84,54.01,56.56
29.75,66.51,53.95,78.62,51.4,54.28,60.95,49.28,54.12,56.17
30,66.56,54.4,75.23,51.67,54.34,59.28,49.45,54.67,56.01
30.25,66.9,54.62,72.45,52.01,54.56,58.34,49.51,54.84,55.84
30.5,67.34,54.9,73.01,52.12,54.84,57.84,49.9,55.4,55.84
30.75,67.73,55.28,75.78,52.28,55.23,57.78,49.67,56.12,55.78
31,68.17,55.56,76.51,52.56,55.51,57.45,50.12,56.28,55.84
31.25,68.34,55.84,76.06,52.67,55.78,57.45,50.17,56.67,56.34
31.5,68.34,56.12,75.34,52.9,56.01,57.62,50.34,56.84,56.95
31.75,68.28,56.51,74.78,53.01,56.23,57.51,50.17,56.67,57.95
32,68.17,56.78,73.28,53.34,56.28,57.56,50.17,56.67,59.28
32.25,68.28,57.06,72.4,53.51,56.34,58.51,50.17,56.9,60.56
32.5,68.17,57.23,71.73,53.67,56.34,59.34,50.45,57.56,62.51
32.75,68.17,57.45,71.34,53.9,56.51,60.34,50.56,57.45,63.78
33,68.34,57.62,71.73,54.06,56.45,62.23,50.45,57.4,63.78
33.25,68.51,57.84,75.28,54.28,56.51,64.56,50.34,57.01,62.12
33.5,68.78,57.95,80.28,54.45,56.51,67.45,50.23,56.56,60.95
33.75,69.06,58.06,82.23,54.56,56.4,67.17,50.17,56.17,60.56
34,69.34,58.17,85.67,54.73,56.51,64.95,50.23,56.01,60.67
34.25,69.34,58.34,90.23,54.84,56.51,62.78,50.34,55.95,60.9
34.5,69.4,58.56,90.73,55.17,56.67,62.01,50.51,56.17,61.67
34.75,69.45,58.62,87.95,55.34,56.84,61.45,50.73,56.84,62.23
35,69.51,58.78,84.62,55.45,57.23,61.12,50.9,57.51,62.84
35.25,69.51,58.9,81.73,55.73,57.51,61.17,50.84,57.34,63.34
35.5,69.62,59.12,79.62,56.01,57.84,61.51,50.45,57.23,63.56
35.75,69.62,59.34,77.73,56.23,58.12,62.12,50.45,57.28,62.45
36,69.62,59.62,76.06,56.4,58.34,62.23,50.28,57.06,61.73
36.25,69.67,59.78,74.67,56.67,58.51,63.34,50.12,57.34,61.45
36.5,69.56,60.06,73.23,56.78,58.67,64.34,50.45,57.01,61.45
36.75,69.51,60.23,72.28,57.01,58.73,63.62,50.56,57.12,61.84
37,69.78,60.34,70.67,57.06,58.73,63.01,51.34,56.95,62.56
37.25,70.12,60.4,70.34,57.23,58.9,62.23,51.45,57.28,63.51
37.5,70.62,60.56,73.4,57.34,59.01,62.62,51.67,57.06,64.67
37.75,71.12,60.73,78.01,57.4,59.23,63.51,51.4,57.06,66.34
38,71.51,60.73,81.9,57.45,59.4,64.62,52.23,57.28,68.23
38.25,71.73,60.9,84.45,57.56,59.56,65.95,52.51,57.23,69.01
38.5,71.78,61.01,86.28,57.73,59.73,67.4,52.01,57.34,68.28
38.75,71.73,61.12,87.78,57.78,59.95,69.56,52.45,57.17,66.84
39,71.78,61.4,89.4,57.95,60.12,70.17,51.67,57.06,66.23
39.25,71.73,61.51,87.4,58.23,60.12,68.17,51.67,57.01,66.06
39.5,71.62,61.62,85.01,58.28,60.17,66.23,51.84,56.9,66.34
39.75,71.51,61.73,82.01,58.56,60.17,65.34,51.9,56.9,66.95
40,71.56,61.9,79.56,58.78,60.34,64.56,51.95,57.17,67.84
40.25,71.73,61.95,79.67,58.95,60.56,64.28,52.01,57.12,68.56
40.5,71.84,62.06,81.17,59.12,60.73,64.34,52.28,57.51,69.4
40.75,72.06,62.34,81.78,59.28,60.95,64.67,52.06,57.67,69.56
41,72.23,62.45,81.23,59.45,61.17,65.28,52.01,57.95,69.12
41.25,72.17,62.51,80.23,59.56,61.23,65.9,51.78,57.95,68.28
41.5,72.28,62.73,79.67,59.78,61.34,66.78,52.73,58.01,67.67
41.75,72.28,62.84,79.23,59.9,61.34,67.56,52.78,58.06,66.84
42,72.56,62.95,78.56,60.12,61.34,67.4,53.01,58.12,66.17
42.25,72.84,63.06,77.67,60.23,61.4,66.78,52.67,57.95,65.84
42.5,73.06,63.23,76.9,60.4,61.51,65.95,52.62,58.06,65.62
42.75,73.34,63.56,76.62,60.62,61.67,65.34,53.01,58.12,65.51
43,73.4,63.9,78.84,60.62,61.9,64.73,53.73,58.28,65.51
43.25,73.51,64.17,82.67,60.95,62.12,64.28,53.34,58.51,65.62
43.5,73.45,64.51,85.56,61.01,62.17,64.17,53.51,58.62,65.67
43.75,73.4,64.78,87.84,61.06,62.4,64.28,53.73,58.62,66.34
44,73.4,64.9,90.78,61.28,62.45,64.67,53.51,58.9,67.28
44.25,73.34,65.12,92.17,61.4,62.73,64.73,53.56,59.06,68.06
44.5,73.06,65.28,90.67,61.67,62.78,65.06,53.62,59.28,69.01
44.75,73.12,65.51,87.51,61.78,62.84,65.62,53.78,59.4,69.95
45,72.95,65.62,85.62,61.9,62.9,66.34,53.4,59.28,70.84
45.25,72.84,65.73,83.01,62.06,62.84,67.51,53.45,59.12,71.01
45.5,72.9,65.84,81.01,62.23,62.73,68.9,53.73,59.12,70.45
45.75,72.84,66.01,82.23,62.45,62.73,71.12,53.78,59.12,69.67
46,72.67,66.17,82.84,62.56,62.73,73.4,53.67,59.12,69.34
46.25,72.62,66.34,83.28,62.73,62.67,72.67,53.73,59.23,69.23
46.5,72.56,66.56,83.23,62.9,62.73,70.01,54.01,59.28,69.51
46.75,72.56,66.84,82.56,63.12,62.78,68.9,54.06,59.4,69.9
47,72.51,66.95,81.95,63.23,62.84,68.06,54.51,59.56,70.62
47.25,72.45,67.12,80.9,63.51,63.23,67.78,54.51,59.56,71.73
47.5,72.45,67.34,80.28,63.56,63.4,67.45,54.45,59.67,72.78
47.75,72.51,67.56,79.84,63.78,63.78,68.17,54.51,59.51,74.34
48,72.45,67.73,79.34,63.9,63.9,68.4,54.56,59.56,75.51
48.25,72.45,67.9,78.45,64.12,64.12,68.62,55.73,59.62,75.28
48.5,72.4,68.06,77.95,64.28,64.34,68.67,55.4,59.45,73.95
48.75,72.34,68.23,77.12,64.34,64.45,69.51,55.4,59.84,72.84
49,72.4,68.28,76.12,64.56,64.51,70.12,56.12,59.84,72.45
49.25,72.34,68.45,75.56,64.62,64.56,69.62,56.23,59.78,72.4
49.5,72.4,68.67,75.84,64.84,64.67,69.34,56.45,59.84,72.73
49.75,72.4,68.84,77.56,64.9,64.84,69.78,56.34,59.67,73.28
50,72.4,69.12,80.28,65.06,65.01,70.9,56.78,59.67,74.12
50.25,72.45,69.34,82.9,65.12,65.17,72.34,56.4,59.73,74.78
50.5,72.51,69.51,85.28,65.17,65.12,74.28,56.12,59.84,75.17
50.75,72.56,69.67,87.95,65.34,65.34,74.78,56.28,59.78,74.95
51,72.62,69.78,90.28,65.45,65.51,73.73,56.34,59.9,74.06
51.25,72.84,69.73,91.9,65.62,65.56,71.62,56.84,59.95,73.17
51.5,73.28,69.9,92.34,65.78,65.62,70.62,56.78,60.06,72.84
51.75,73.84,70.06,91.4,65.9,65.73,69.78,56.51,60.06,73.01
52,74.45,70.34,89.12,66.12,65.9,69.23,56.84,60.12,73.28
52.25,74.84,70.67,86.73,66.34,66.01,68.95,56.45,60.12,73.84
52.5,75.17,70.84,84.73,66.56,66.28,68.62,56.84,60.28,74.67
52.75,75.51,71.06,83.51,66.73,66.4,68.4,57.06,60.62,75.84
53,75.67,71.4,83.45,66.9,66.56,68.12,57.34,60.9,77.51
53.25,75.78,71.56,83.73,67.06,66.67,68.01,57.51,60.78,78.51
53.5,75.84,71.67,84.17,67.28,66.73,68.01,58.01,60.95,78.45
53.75,75.84,71.9,83.45,67.45,66.73,68.01,58.67,61.01,77.95
54,75.78,72.06,83.56,67.62,66.73,67.95,58.34,61.28,76.84
54.25,75.9,72.28,82.62,67.78,66.67,67.84,58.56,61.28,75.95
54.5,76.01,72.51,82.34,67.95,66.73,67.84,58.78,61.45,75.45
54.75,76.12,72.62,83.34,68.06,66.67,67.73,57.95,61.67,75.06
55,76.17,72.56,86.95,68.12,66.56,67.84,58.51,61.84,74.78
55.25,76.28,72.78,89.62,68.28,66.62,67.9,58.78,61.84,74.51
55.5,76.4,72.9,92.23,68.51,66.67,67.9,59.28,61.84,74.12
55.75,76.51,72.95,93.4,68.56,66.67,67.78,59.06,62.12,74.23
56,76.51,73.06,94.84,68.67,66.56,67.84,58.84,62.45,74.28
56.25,76.67,73.23,94.06,68.78,66.62,67.67,59.01,62.78,74.56
56.5,77.12,73.51,92.17,68.95,66.73,67.67,58.23,63.23,75.01
56.75,77.56,73.62,90.17,69.12,66.67,67.84,57.9,63.78,75.67
57,77.9,73.84,88.12,69.23,66.62,68.01,57.56,63.9,76.62
57.25,78.28,74.01,86.62,69.34,66.62,68.06,57.28,64.23,77.28
57.5,78.56,74.06,85.28,69.51,66.62,68.12,57.23,64.01,77.95
57.75,78.78,74.12,84.34,69.67,66.67,68.45,57.06,64.06,78.4
58,78.95,74.12,83.4,69.67,66.51,68.45,57.01,64.34,77.78
58.25,78.9,74.12,82.23,69.78,66.51,68.95,56.95,64.34,76.95
58.5,78.84,74.06,81.28,69.9,66.51,69.12,56.9,64.28,76.56
58.75,78.78,74.28,80.56,70.01,66.62,69.51,56.9,64.73,76.51
59,78.73,74.28,79.9,70.06,66.56,69.95,56.78,65.45,76.67
59.25,78.62,74.51,78.95,70.12,66.62,70.67,56.78,65.84,77.06
59.5,78.73,74.56,78.06,70.06,66.67,71.56,57.06,66.51,77.67
59.75,78.62,74.62,77.67,70.28,66.67,73.17,57.06,66.67,78.56
60,78.62,74.56,77.17,70.23,66.67,75.45,57.12,67.01,79.62
60.25,78.73,74.67,76.95,70.23,66.73,78.06,57.4,67.12,80.56
60.5,78.84,74.62,76.84,70.34,66.78,79.28,57.56,67.28,80.67
60.75,78.95,74.56,76.62,70.45,66.9,78.45,57.62,67.45,79.56
61,79.17,74.62,76.4,70.4,67.01,75.4,57.73,67.73,79.12
61.25,79.45,74.62,76.12,70.56,67.12,73.95,57.84,68.01,79.28
61.5,79.73,74.67,76.01,70.56,67.4,73.17,58.01,68.17,79.73
61.75,79.95,74.56,75.78,70.56,67.73,73.28,58.06,68.62,80.06
62,80.01,74.67,75.56,70.62,68.17,74.34,58.06,68.73,80.62
62.25,80.23,74.78,75.56,70.62,68.56,74.78,58.17,68.84,81.01
62.5,80.34,74.73,75.23,70.73,68.9,74.51,58.23,68.95,80.84
62.75,80.4,74.78,75.28,70.67,69.23,74.73,58.28,69.28,80.23
63,80.45,74.78,76.17,70.78,69.51,73.84,58.45,69.12,79.4
63.25,80.56,74.84,77.28,70.78,69.67,73.12,58.56,69.12,78.73
63.5,80.9,74.78,77.17,70.9,69.78,72.95,58.51,69.28,78.06
63.75,81.34,74.84,77.34,71.01,69.95,73.23,58.73,69.51,77.62
64,81.73,74.9,78.95,71.01,70.17,73.73,58.84,69.73,77.23
